title,company,ratings,reviews,experience,salary,location,days_posted,url
Data Scientist,Course5 Intelligence,3.7,143 Reviews,3-8 Yrs,Not disclosed,"Mumbai, Jaipur, Bangalore/Bengaluru",16 Days Ago,https://www.naukri.com/job-listings-data-scientist-course5i-intelligence-pvt-ltd-mumbai-jaipur-bangalore-bengaluru-3-to-8-years-240223501115
Staff Data Scientist,FabHotels,3.4,215 Reviews,10-12 Yrs,Not disclosed,"Mumbai, Bangalore/Bengaluru",20 Days Ago,https://www.naukri.com/job-listings-staff-data-scientist-fabhotel-aay-kay-model-town-mumbai-bangalore-bengaluru-10-to-12-years-200223502834
Data Science - Expert,Colgate-Palmolive (India),4.3,614 Reviews,2-6 Yrs,Not disclosed,Mumbai,30+ Days Ago,https://www.naukri.com/job-listings-data-science-expert-colgate-palmolive-india-mumbai-2-to-6-years-310123501485
Data Scientist,Aditya Birla Housing Finance,4.0,440 Reviews,2-7 Yrs,Not disclosed,Mumbai (All Areas),21 Days Ago,https://www.naukri.com/job-listings-data-scientist-aditya-birla-housing-finance-mumbai-all-areas-2-to-7-years-200223008105
Data Scientist,NSEIT,3.7,788 Reviews,5-10 Yrs,Not disclosed,Mumbai,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-nse-it-ltd-mumbai-5-to-10-years-050522500511
Data Scientist,Ni Systems,4.2,3 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru(Bellandur),5 Days Ago,https://www.naukri.com/job-listings-data-scientist-ni-systems-bangalore-bengaluru-2-to-5-years-171022001597
Senior Data Scientist,Duff & Phelps,4.1,31 Reviews,3-7 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad",3 Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-kroll-associates-india-pvt-ltd-mumbai-hyderabad-secunderabad-3-to-7-years-100323502859
Data Science Lead,Impact Analytics,3.7,22 Reviews,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,5 Days Ago,https://www.naukri.com/job-listings-data-science-lead-impact-analytics-bangalore-bengaluru-4-to-6-years-080323006231
Data Scientist,Paypal,4.1,475 Reviews,4-8 Yrs,Not disclosed,Chennai,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-paypal-holdings-inc-chennai-4-to-8-years-070223500820
"Senior Specialist, Data Scientist",BNY Mellon,4.2,2691 Reviews,8-10 Yrs,Not disclosed,Chennai,30+ Days Ago,https://www.naukri.com/job-listings-senior-specialist-data-scientist-bny-mellon-international-operations-india-chennai-8-to-10-years-181122500466
Machine Learning Engineer 3,Paypal,4.1,475 Reviews,2-7 Yrs,Not disclosed,Chennai,30+ Days Ago,https://www.naukri.com/job-listings-machine-learning-engineer-3-paypal-holdings-inc-chennai-2-to-7-years-171222500107
Data Scientist 1,Paypal,4.1,475 Reviews,4-8 Yrs,Not disclosed,Chennai,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-1-paypal-holdings-inc-chennai-4-to-8-years-151222503380
Lead Data Scientist,BNY Mellon,4.2,2691 Reviews,4-6 Yrs,Not disclosed,Chennai,30+ Days Ago,https://www.naukri.com/job-listings-lead-data-scientist-bny-mellon-international-operations-india-chennai-4-to-6-years-050922501383
Associate Data Scientist,KAS Services India,3.9,30 Reviews,0-1 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-associate-data-scientist-kas-services-india-bangalore-bengaluru-0-to-1-years-300123501402
Engineer - Data Science (DATA SCIENCE ENGINEER),Ninestars Information Technologies Ltd,3.5,141 Reviews,0-1 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-engineer-data-science-data-science-engineer-ninestars-information-technologies-ltd-bangalore-bengaluru-0-to-1-years-080223500466
Data Science Intern,Wow Labz,4.5,4 Reviews,0-1 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-data-science-intern-wow-labz-bangalore-bengaluru-0-to-1-years-230822500773
Machine Learning Intern - (Final Year),Cloudsek Information Security,4.0,7 Reviews,0-1 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-machine-learning-intern-final-year-cloudsek-information-security-private-limited-bangalore-bengaluru-0-to-1-years-140722502304
Data Scientist,Fusion Plus Solutions Inc,2.4,5 Reviews,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad,13 Days Ago,https://www.naukri.com/job-listings-data-scientist-fusion-plus-solutions-inc-hyderabad-secunderabad-3-to-6-years-280223501077
Principle Software Engineer - Data Integration,Conga Software Pvt Ltd,4.3,46 Reviews,10-15 Yrs,30-40 Lacs PA,"Pune(Viman Nagar), Ahmedabad(Makarba), Bangalore/Bengaluru(Marathahalli)",16 Days Ago,https://www.naukri.com/job-listings-principle-software-engineer-data-integration-conga-software-pvt-ltd-pune-ahmedabad-bangalore-bengaluru-10-to-15-years-250223003438
Data Scientist,Springer Nature,3.8,159 Reviews,5-9 Yrs,Not disclosed,Hybrid - Pune,19 Days Ago,https://www.naukri.com/job-listings-data-scientist-springer-nature-pune-5-to-9-years-220223011398
