title,company,ratings,reviews,experience,salary,location,days_posted,tags,url
Manager - Innovations Hub - Machine Learning,PwC,3.8,4497 Reviews,7-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Bangalore/Bengaluru",2 Days Ago, python data mining analytical automation robotics analytics process data,https://www.naukri.com/job-listings-manager-innovations-hub-machine-learning-pricewaterhouse-coopers-private-limited-mumbai-hyderabad-secunderabad-bangalore-bengaluru-7-to-9-years-110323500743
Senior Data Scientist - Statistics,Optum,4.1,2265 Reviews,5-7 Yrs,Not disclosed,Gurgaon/Gurugram,14 Days Ago, Data science time predictive machine learning sql time series python statistics,https://www.naukri.com/job-listings-senior-data-scientist-statistics-optum-global-solutions-india-private-limited-gurgaon-gurugram-5-to-7-years-270223905634
Data Scientist Manufacturing,Jubilant Pharmova Limited,4.1,1095 Reviews,5-9 Yrs,Not disclosed,Noida,10 Days Ago, machine research analytics oracle processing procurement data operations,https://www.naukri.com/job-listings-data-scientist-manufacturing-jubilant-pharmova-limited-noida-5-to-9-years-030323502254
Data Scientist (Manufacturing),Jubilant Pharmova Limited,4.1,1095 Reviews,5-9 Yrs,Not disclosed,Noida,10 Days Ago, agrochemicals nutrition analytical machine manufacturing analytics project data,https://www.naukri.com/job-listings-data-scientist-manufacturing-jubilant-pharmova-limited-noida-5-to-9-years-030323502249
Data Scientist - Sales & Marketing,Jubilant Pharmova Limited,4.1,1095 Reviews,3-7 Yrs,Not disclosed,Noida,10 Days Ago, agrochemicals analytical sql sales marketing analytics data pharmaceutical,https://www.naukri.com/job-listings-data-scientist-sales-marketing-jubilant-pharmova-limited-noida-3-to-7-years-030323502248
Data Scientist,Jubilant Pharmova Limited,4.1,1095 Reviews,4-8 Yrs,Not disclosed,Noida,10 Days Ago, analytical data processing research analytics operations research pharmaceutical oracle teradata,https://www.naukri.com/job-listings-data-scientist-jubilant-pharmova-limited-noida-4-to-8-years-030323502246
Senior Data Scientist,Justified Advertising Software Services India Digital,2.5,3 Reviews,6-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",18 Days Ago, modeling sql analysis analytics predictive modeling data analysis data senior,https://www.naukri.com/job-listings-senior-data-scientist-justanswer-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-6-to-10-years-230223502218
Data Scientist,Course5 Intelligence,3.7,143 Reviews,3-8 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru",3 Days Ago, data data science sql coding python science,https://www.naukri.com/job-listings-data-scientist-course5i-intelligence-pvt-ltd-mumbai-gurgaon-gurugram-bangalore-bengaluru-3-to-8-years-100323501554
Lead Assistant Manager,EXL,3.9,5532 Reviews,3-6 Yrs,Not disclosed,Noida,17 Days Ago, management analytical healthcare sql analysis analytics data analysis assistance,https://www.naukri.com/job-listings-lead-assistant-manager-exl-services-com-i-pvt-ltd-noida-3-to-6-years-240223501504
Data Scientist,Siemens,4.2,5086 Reviews,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, data science deep learning machine analytics computer science data vision architecture,https://www.naukri.com/job-listings-data-scientist-siemens-limited-gurgaon-gurugram-2-to-6-years-230123502742
Data Scientist,Adidas,4.2,337 Reviews,2-7 Yrs,Not disclosed,Gurgaon/Gurugram,19 Days Ago, process coding data analysis sql python visual studio analytics processing,https://www.naukri.com/job-listings-data-scientist-adidas-group-gurgaon-gurugram-2-to-7-years-220223502408
Junior Data Scientist,Adidas,4.2,337 Reviews,1-6 Yrs,Not disclosed,Gurgaon/Gurugram,20 Days Ago, marketing data modeling modeling business administration analytics wholesale analytical data analysis,https://www.naukri.com/job-listings-junior-data-scientist-adidas-group-gurgaon-gurugram-1-to-6-years-210223502200
Data Scientist || Immediate Joiner,Sun Life,4.4,403 Reviews,8-13 Yrs,Not disclosed,Gurgaon/Gurugram,19 Days Ago, Data Science SAS Tableau Python data science,https://www.naukri.com/job-listings-data-scientist-immediate-joiner-sun-life-gurgaon-gurugram-8-to-13-years-190123009828
Manager-Data Science,AMERICAN EXPRESS,4.4,2040 Reviews,3-6 Yrs,Not disclosed,Gurgaon/Gurugram,24 Days Ago, mathematics data science monitoring management science technology machine learning credit,https://www.naukri.com/job-listings-manager-data-science-american-express-company-gurgaon-gurugram-3-to-6-years-170223504138
Junior Data Scientist,Adidas,4.2,337 Reviews,1-3 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, media analytical analytics process computer science econometrics data analysis data,https://www.naukri.com/job-listings-junior-data-scientist-adidas-group-gurgaon-gurugram-1-to-3-years-280123500715
"Senior Data Scientist, AI CoE",Boston Consulting Group,4.0,161 Reviews,4-6 Yrs,Not disclosed,New Delhi,30+ Days Ago, data quality management quality management machine sql senior assurance,https://www.naukri.com/job-listings-senior-data-scientist-ai-coe-boston-consulting-group-new-delhi-4-to-6-years-251122502757
Senior Data Scientist / Senior ML Engineer,Agile Airport Services,3.9,66 Reviews,2-8 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, gcp machine learning data analytics programming python data science coding,https://www.naukri.com/job-listings-senior-data-scientist-senior-ml-engineer-indigo-airlines-pvt-ltd-gurgaon-gurugram-2-to-8-years-201022501170
Analyst-Data Science,AMERICAN EXPRESS,4.4,2040 Reviews,1-5 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, sql machine learning forecasting data business strategy science predictive sas,https://www.naukri.com/job-listings-analyst-data-science-american-express-company-gurgaon-gurugram-1-to-5-years-081222501685
Analyst - Risk Management II,AMERICAN EXPRESS,4.4,2040 Reviews,1-5 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, data science marketing customer profitability analytical machine analytics data software testing,https://www.naukri.com/job-listings-analyst-risk-management-ii-american-express-company-gurgaon-gurugram-1-to-5-years-070123500322
Principal Data Scientist,Bharatpe,3.7,166 Reviews,5-8 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, forecasting nosql machine learning financial services analysis consulting machine mysql,https://www.naukri.com/job-listings-principal-data-scientist-bharatpe-gurgaon-gurugram-5-to-8-years-021222500033
Data Scientist,M/s. Orange Business Services,4.3,963 Reviews,8-10 Yrs,Not disclosed,Gurgaon/Gurugram,30+ Days Ago, sql machine learning python machine operations management deep learning operations process,https://www.naukri.com/job-listings-data-scientist-m-s-orange-business-services-gurgaon-gurugram-8-to-10-years-011222500919
Data Scientist Intern,BYJUS,3.4,14304 Reviews,0-1 Yrs,Not disclosed,Permanent Remote,1 Day Ago, excel dbms data statistics database handling handling python r,https://www.naukri.com/job-listings-data-scientist-intern-byjus-bangalore-bengaluru-0-to-1-years-130323004591
Data Science Specialist,Accenture,4.1,34218 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",28 Days Ago, Product management Change management Consulting Machine learning Python management business process intelligence,https://www.naukri.com/job-listings-data-science-specialist-accenture-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-130223902578
Analystics & Modeling Specialist,Accenture,4.1,34218 Reviews,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",28 Days Ago, Bfsi Consulting Machine learning Open source Python modeling market research sourcing,https://www.naukri.com/job-listings-analystics-modeling-specialist-accenture-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-6-to-8-years-130223902315
Data Scientist,Citicorp Finance,3.8,1047 Reviews,7-12 Yrs,Not disclosed,"Hybrid - Pune, Bangalore/Bengaluru",2 Days Ago, Logistic Regression data regression machine learning algorithms data science modeling machine languages,https://www.naukri.com/job-listings-data-scientist-citicorp-finance-pune-bangalore-bengaluru-7-to-12-years-110323003406
Job | Hiring For Data scientist- Gurgaon,Orange Business Services,4.3,963 Reviews,3-7 Yrs,Not disclosed,Gurgaon/Gurugram,10 Days Ago, Machine Learning languages processing process machine hiring data natural language processing,https://www.naukri.com/job-listings-hiring-for-data-scientist-gurgaon-orange-business-services-gurgaon-gurugram-3-to-7-years-030323007777
"Senior /Lead, Data Science - AI/ML",Srijan Technologies Pvt. Ltd.,4.5,56 Reviews,3-7 Yrs,Not disclosed,"Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru",30+ Days Ago, drupal computation senior data analysis artificial intelligence machine learning python analysis,https://www.naukri.com/job-listings-senior-lead-data-science-ai-ml-srijan-technologies-pvt-ltd-kolkata-indore-new-delhi-hyderabad-secunderabad-pune-chennai-ahmedabad-gurgaon-gurugram-jaipur-bangalore-bengaluru-3-to-7-years-110123501663
TransOrg Analytics - Data Scientist,TransOrg,2.1,23 Reviews,3-6 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru",13 Days Ago, TransOrg data mining analytics sql data analysis data analysis python,https://www.naukri.com/job-listings-transorg-analytics-data-scientist-transorg-analytics-mumbai-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-3-to-6-years-080223909675
Sr. Data scientist,Tata Consultancy Services (TCS),3.9,54038 Reviews,7-12 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",28 Days Ago, data science model building machine learning data machine sr science building,https://www.naukri.com/job-listings-sr-data-scientist-tata-consultancy-services-tcs-hyderabad-secunderabad-bangalore-bengaluru-mumbai-all-areas-7-to-12-years-130223007962
Data Scientist,IBM,4.2,15996 Reviews,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,Few Hours Ago, Architecture Business analysis Information security Deployment Open source model validation deep learning process analysis,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-3-to-6-years-130323906793
Sr SDE - Digital/Video Analytics,Unify Technologies,3.7,79 Reviews,4-8 Yrs,Not disclosed,Gurgaon/Gurugram,1 Day Ago, Video Analytics Artificial Intelligence Machine Learning Digital Analytics Python sde computer vision natural language processing,https://www.naukri.com/job-listings-sr-sde-digital-video-analytics-unify-technologies-gurgaon-gurugram-4-to-8-years-230223015841
Data Scientist,R Systems International,3.6,576 Reviews,4-7 Yrs,Not disclosed,Noida(Sector-59 Noida),18 Days Ago, deep learning tensorflow Natural Language Processing Data Mining Python data machine pytorch,https://www.naukri.com/job-listings-data-scientist-r-systems-international-noida-4-to-7-years-230223004844
Sr Data Scientist,Gartner,4.1,184 Reviews,5-6 Yrs,Not disclosed,Gurgaon/Gurugram,27 Days Ago, data science management science computation product management machine learning data mining cloud computing,https://www.naukri.com/job-listings-sr-data-scientist-gartner-india-research-advisory-services-pvt-ltd-gurgaon-gurugram-5-to-6-years-140223500488
Data Scientist,Extramarks Education,3.6,1470 Reviews,3-5 Yrs,5-15 Lacs PA,"Noida(Sector-136 Noida), Ghaziabad, Greater Noida, Delhi / NCR",30+ Days Ago, Natural Language Processing Neural Networks Machine Learning Deep Learning Python chatbots data deep neural networks,https://www.naukri.com/job-listings-data-scientist-extramarks-education-noida-ghaziabad-greater-noida-delhi-ncr-3-to-5-years-130123610211
Senior Data Scientist - Machine Learning | Pepsico,Talent500,2.8,7 Reviews,4-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",13 Days Ago, Machine Learning Python senior aws sql data machine,https://www.naukri.com/job-listings-senior-data-scientist-machine-learning-pepsico-talent500-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-4-to-7-years-280223013111
Analyst / Analytics Specialist ( Data Scientist),TransOrg,2.1,23 Reviews,2-6 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram",13 Days Ago, Data analysis python statistical modeling data mining data modeling modeling trend analytics,https://www.naukri.com/job-listings-analyst-analytics-specialist-data-scientist-transorg-analytics-mumbai-pune-gurgaon-gurugram-2-to-6-years-190123905048
Data Scientist,MRI Software,4.2,18 Reviews,4-7 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru, Vadodara",30+ Days Ago, mysql scripting sql analysis shell scripting computer monitoring data analysis,https://www.naukri.com/job-listings-data-scientist-mri-software-pune-gurgaon-gurugram-bangalore-bengaluru-vadodara-baroda-4-to-7-years-141022501520
